program_id,code,error_id_1,error_id_2,error_class_id
prog05797,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int i,n,k,ln,c=0;
  5     int a[500];
  6     scanf(""%d"",&k);
  7     for(i=0;i<n;i++)
  8     {     
  9         scanf(""%d"",&ln);
 10         a[ln]=1;
 11     }
 12     for(i=0;i<=250;i++)
 13     {
 14         if(a[i]==1&&a[k-i]==1)
 15         c++;
 16     }
 17     if(c>0)
 18     printf(""lucky"");
 19     else
 20     printf(""unlucky"")
 21     
 22     return 0;
 23 }",Bound,Lost,1
prog13456,"  1 #include <stdio.h>
  2 int main(){
  3     int k,i,t;
  4     int num[1500];
  5     int n,d=0;
  6     scanf(""%d"",&k);
  7     scanf(""%d"",&n);
  8     for(i=0;i<n;i++)
  9     {
 10         scanf(""%d"",&num[i]);
 11     }
 12     for(i=0;i<n-1;i++)
 13     {
 14         t=k-num[i];
 15         for(j=i+1;j<n;j++)
 16         {
 17             if(t==num[j])
 18             {
 19                 printf(""lucky"");
 20                 d=1;
 21                 break;
 22             }
 23         }
 24         if(d==1)
 25         {
 26             break;
 27         }
 28     }
 29     if(d==0)
 30     {
 31         printf(""unlucky"");
 32     }
 33     return 0;
 34 }",ID,NoDef,0
prog33126,"  1 #include <stdio.h>
  2 int main(){
  3     int l[1002],k,n,i,f=0;
  4     int a[500];
  5     //Array l[1000] is for storing the numbers
  6          //Array a[500] is for recording the occurence of each number.
  7     for(i=0;i<500;i++) //Initialising each value of a[500] to 0.
  8     {
  9        a[i]=0;
 10     }
 11     scanf(""%d"",&k);
 12     scanf(""%d"",&n);
 13     for(i=0;i<n;i++)
 14     {
 15       scanf(""%d"",&l[i]);
 16     }
 17     for(i=0;i<n;i++) //Recording the occurence of each number
 18     {
 19         a[l[i]]++;
 20     }
 21     for(i=0;i<k;i++)
 22     { 
 23         if(i<500&&(k-i)<500) 
 24         {
 25             if(a[i]!=0&&a[k-i]!=0) //Both a[i] and a[k-i] are non zero 
 26             {                      //implies that i and k-i occur for
 27                 f=1;                       .
 28                 break;             //at least one i.
 29             }
 30         }
 31     }
 32     if(f)
 33     printf(""lucky"");
 34     else
 35     printf(""unlucky"");
 36     return 0;
 37 }",Not,Include,2
prog39301,"  1 #include <stdio.h>
  2 int main(){
  3     // Insert your code here
  4     int k,n,i,j,count = 0;
  5     int a[1000];
  6     scanf(""%d"",&k);
  7     scanf(""%d"",&n);
  8     for(i=0;i<n;i++){
  9         scanf(""%d"",&a[i]);
 10     }for(i=0;i<n;i++){
 11         for(j=i+1;j<n;j++){
 12             if((a[i]+a[j]) == k){
 13                 count = 1
 14             }
 15         }
 16     }
 17     if(count ==0){
 18         printf(""unlucky"");
 19     }else if(count == 1){
 20         printf(""lucky"");
 21     }
 22     return 0;
 23 }",Bound,Lost,1
prog06579,"  1 #include <stdio.h>
  2 int main(){
  3     int k,i,n,a[100],sum,l;
  4     scanf(""%d"",&k);
  5     scanf(""%d"",&n);
  6     for(i=0;i<n;i++)
  7     {
  8         scanf(""%d"",&a[i]);
  9         {   
 10             for(l=0;l<n;l++)
 11             {
 12             scanf(""%d"",&a[l]);
 13             sum = 0;
 14             sum= a[i]+a[n-l-1];
 15             if(sum==b)
 16             printf(""lucky"");
 17         
 18             }
 19             
 20         }
 21     }
 22      return 0;
 23 }",ID,NoDef,0
prog34360,"  1 #define MAXVAL 1000
  2 #include <stdio.h>
  3 int main()
  4 {
  5     int i, k, n, count;
  6     int value[MAXVAL];
  7     scanf(""%d"", &k);
  8     scanf(""%d"", &n);
  9     for(i=0; i<=n; i++)
 10     {
 11         scanf(""%d"", &value[i]);
 12     }
 13     for(i=0; i<=n; i++)
 14     {
 15         count = 0;
 16         for(j=0; j<=n; j++)
 17         if(value[i] + value[i+j] == k)
 18         {
 19             count = count + 1;
 20                 if(count > 0)
 21                 {
 22                     printf(""lucky"");
 23                 }
 24                 else
 25                 {
 26                     printf(""unlucky"");
 27                 }
 28         }
 29     }
 30     return 0;
 31 }",ID,NoDef,0
prog12809,"  1 #include <stdio.h>
  2 int main(){
  3     // Insert your code here
  4     int k,n;
  5     int a[999];
  6     for( int c = 0; c < 1000; c++)
  7     {
  8         a[c] = -1;
  9     }
 10     scanf(""%d"", &k);
 11     scanf(""%d"", &n);
 12     for(int i = 0; i < n; i++)
 13         scanf(""%d"", &a[i]);.
 14     for(int i = 0; i < n; i++)
 15         printf(""%d "", a[i]);
 16     
 17     
 18     return 0;
 19 }",Not,Include,2
prog58179,"  1 #include <stdio.h>
  2 int main(){
  3     // Insert your code here
  4     int k,n,a[500],b[500],m=0;
  5     scanf(""%d\n"",&k);
  6     scanf(""%d\n"",&n);
  7     for(int i=0;i<n;i++)
  8     {b[i]=0;}
  9     for(int i=0;i<n;i++)   //getting input of numbers
 10     {scanf(""%d "",&a[i]);}
 11     
 12     
 13     
 14     //for(int i=0;i<500;i++)  
 15     {for(int j=0;j<n;j++)       
 16     {b[a[j]]++;}
 17     
 18     for(int i=0;i<n;i++)
 19     {if(b[i]!=0&&b[k-i]!=0) 
 20     m++;
 21     }
 22     if(m!=0)
 23     printf(""lucky"");
 24     else
 25     printf(""unlucky"");
 26     
 27     
 28     return 0;
 29 }",Bound,NotMatch,3
prog57957,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int arr[1000];
  5     int k,n,i,j,flag,l;
  6     scanf(""%d\n%d\n"",&k,&n);
  7     for(i=0;i<n;i++)
  8     {
  9         scanf(""%d "",&arr[i]);
 10     }
 11     for(j=0;j<n;j++)
 12     {
 13         for(l=0;l<n;l++)
 14         {
 15             if(a[j]+a[l]==k)
 16             flag=flag+1;
 17         }
 18     }
 19     if(flag>0)
 20     printf(""lucky"");
 21     else
 22     printf(""unlucky"");
 23     return 0;
 24 }",ID,NoDef,0
prog46394,"  1 #include <stdio.h>
  2 int main(){
  3     int k,j,i;
  4     int n;
  5     int num[1000];
  6     scanf(""%d"",&n);
  7     for(i=0;i<n;i++)
  8     {
  9         scanf(""%d"",&num[i]);
 10     }
 11     for(i=0;i<n;i++)
 12     {
 13         for(j=i+1;j<n;j+=)
 14         {
 15             if(k==num[i]+num[j]);
 16             {
 17                 printf(""lucky"");
 18                 break;
 19             }
 20         }
 21     }
 22     // Insert your code here
 23     return 0;
 24 }",op,DataLost,5
prog03858,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int luckn,len,i,j,list[1001],flag=0,arr[501];
  5     scanf(""%d%d"", &luckn, &len);
  6     for(i=0; i<len; i++)
  7         {
  8             scanf(""%d"", &list[i]);
  9         }
 10     
 11     for(i=0; i<500; i++)
 12         {   
 13             arr[i]=0;
 14             for(j=0;j<len; j++)
 15                 {
 16                     if(i==list[j])
 17                         arr[i]++;
 18                 }
 19         }
 20     for(i=0; i<n; i++)
 21         printf(""%d"", arr[i]);
 22        
 23     
 24     for(i=0; i<500; i++)
 25         {
 26             for(j=0; j<len; j++)
 27                 {
 28                     if(i==list[j])
 29                         {
 30                             if(arr[luckn-i]!=0)
 31                                 {
 32                                     flag=1;
 33                                     break;
 34                                 }
 35                         }
 36                 }
 37         }
 38     
 39     
 40     if(flag==1)
 41         printf(""lucky"");
 42     else
 43        printf(""unlucky"");
 44     
 45     return 0;
 46 }",ID,NoDef,0
prog04507,"  1 #include <stdio.h>
  2 int main(){
  3     
  4     int k,n,i;
  5     scanf(""%d"",&k);
  6     scanf(""%d"",&n);
  7     int occ[500];
  8     int count=0;
  9     i=0;
 10     for(i;i<=499;i++)
 11     {
 12         occ[i]=0;
 13     }
 14     i=1;
 15     for(i;i<=7;i++)
 16     {
 17        scanf(""%d"",&util);
 18        if(util>=0 && util<=499)
 19        {
 20           occ[util]++;
 21        }
 22     }
 23     i=0;
 24     for(i;i<=499;i++)
 25     {
 26         if(k-i>=0)
 27         {
 28             if(occ[i]+occ[k-i]>=2)
 29             {
 30                count=1; 
 31             }
 32         }
 33     }
 34     if(count==1)
 35     {
 36         printf(""lucky"");
 37     }
 38     else
 39     {
 40         printf(""unlucky"");
 41     }
 42     
 43     
 44     
 45     
 46     
 47     
 48     
 49     
 50     
 51     
 52     
 53     
 54     
 55     
 56     
 57     
 58     
 59     /*int k,n,i,j;
 60     int count=0;
 61     scanf(""%d"",&k);
 62     scanf(""%d"",&n);
 63     int numbers[n];
 64     
 65     for(i=0;i<=n-1;i++)
 66     {
 67         scanf(""%d"",&numbers[i]);
 68     }
 69     for(i=0;i<=n-1;i++)
 70     {
 71         j=i;
 72         for(j;j<=n-1;j++)
 73         {
 74             if(numbers[i]+numbers[j]==k)
 75             {
 76                 count=1;
 77                 
 78             }
 79         }
 80         
 81     }
 82     
 83     if(count==1)
 84     {
 85         printf(""lucky"");
 86     }
 87     else
 88     {
 89         printf(""unlucky"");
 90     }
 91     
 92     
 93     
 94     
 95     
 96     
 97     
 98     
 99     
100     
101     // Insert your code here
102     return 0;*/
103 }",ID,NoDef,0
prog15871,"  1 #include <stdio.h>
  2 int main()
  3 {
  4     int n,k,i,j;
  5     int list[1000];
  6     scanf(""%d%d"",&n,&k);
  7     for(i=0;i<n;i++)
  8         list[i]=getchar;
  9     for(i=0;i<n;i++)
 10     {
 11         for(j=0;j<n;j++)
 12         {
 13           if(list[i]==k-list[j])
 14           {
 15               printf(""lucky"");
 16              return 0;
 17           }
 18     }
 19     if(i==n)
 20     printf(""unlucky"");
 21     return 0;
 22 }",Bound,NotMatch,3
prog46110,"  1 #include <stdio.h>
  2 int main(){
  3     int k,n;
  4     scanf(""%d"",&n);
  5     int ip[n];
  6     int i,sum=0;
  7     for(i=0;i<n;i++){
  8         for(j=i;j<n;j++){
  9             sum=ip[i]+ip[j];
 10             if(sum==k){printf(""lucky"");break;}
 11             else{continue;}
 12             printf(""unlucky"");
 13         }
 14     }
 15     return 0;
 16 }",ID,NoDef,0
prog49927,"  1 #include <stdio.h>
  2 int main(){
  3     int k,count,i,j,n;
  4     count=0;
  5     scanf(""%d"",k);
  6     scanf(""%d"",n);
  7     int str[n];
  8     for(i=0;i<n;i++)
  9     scanf(""%d"",str[i]);
 10     for(i=0;i<n;i++)
 11     {
 12         for(j=0;j<n;j++)
 13         {if((i!=j)&&(a[i]+a[j]=k))
 14         count++;}
 15     }
 16     if(count!=0)
 17     printf(""lucky"");
 18     else
 19     printf(""unlucky"");
 20     return 0;
 21 }",ID,NoDef,0
prog16019,"  1 #include <stdio.h>
  2 int main(){
  3     int n,k,j,i,c=0;
  4     scanf(""%d"",&k);
  5     scanf(""%d"",&n);
  6     int a[n];
  7     for(i=0,i<n;i++){
  8         scanf(""%d"",&a[i]);
  9     }
 10     for(i=0;i<n;i++){
 11         for(j=0;j<n;j++){
 12             if(a[i]+a[j]==k){
 13                 c++;
 14                 printf(""lucky"");
 15             break;    
 16             }
 17          if(a[i]+a[j]==k)
 18              break;
 19              printf(""%d,%d"",i,j);
 20         }
 21     }
 22     if(c==0)
 23     printf(""unlucky"");
 24     return 0;
 25 }",Bound,WrongUsage,4
prog04005,"  1 #include <stdio.h>
  2 #include <math.h>
  3 int main(){
  4     int i,l,m,n;
  5     scanf(""%d%d"",&l,&n);
  6     int a[n],b[500];
  7     for(i=0;i<;i++)
  8     scanf(""%d"",&a[i]);
  9     for(i=0;i<500;i++)
 10      {b[i]=0;}
 11     for(i=0;i<n;i++)
 12     { 
 13       b[a[i]]++;
 14     }
 15     
 16     for(i=1;i<500;i++)
 17     { if((b[i]>0)&&(b[l-i]>0))
 18       { printf(""lucky"");
 19         break;
 20       }
 21     } 
 22     if(i==500)
 23     printf(""unlucky"");
 24     
 25     return 0;
 26 }",op,DataLost,5
prog19991,"  1 #include <stdio.h>
  2 int main(){
  3     int n,m,i,k,l,b;
  4     scanf(""%d\n%d\n"",&n,&m);
  5     int a[m];
  6     b=0;
  7     for(i=0;i<m;i++){
  8         scanf(""%d "",&a[i]);
  9     }
 10     for(j=0;j<m;j++){
 11         for(k=j+1;k<m;k++){if((a[j]+a[k])==n){b=1;
 12             break;
 13         }
 14         }
 15         if(b==1) break;
 16     }
 17     if(b==1) printf(""lucky"");
 18     else printf(""unlucky"");
 19     return 0;
 20 }",ID,NoDef,0
prog12094,"  1 #include <stdio.h>
  2 int main(){
  3    int n,k,t,c=0;
  4    scanf(""%d"",&k);
  5    scanf(""%d"",&n);
  6    int a[n];
  7    for(int i=0;i<n;i++)
  8  {  scanf(""%d"",&a[i]);}
  9    for(int x=0;x<n;x++)
 10    {
 11        for(int y=i;y<n;y++)
 12        {
 13           t=a[x]+a[y];
 14           if(t==k)
 15           {
 16               c=1;
 17           }
 18        }
 19    }
 20    if(c==1)
 21    {
 22        printf(""lucky"");
 23    }
 24    else
 25    printf(""unlucky"");
 26     return 0;
 27 }",ID,NoDef,0
prog34119,"  1 #include <stdio.h>
  2 int main(){
  3     
  4     int num[1000],i,k;
  5     for(i=0;i<1000;i++)
  6     {scanf(""%d"",&k);
  7     scanf(""%d"",&num[i]);
  8      k=num[i]+1;}
  9      if(k%2==1)
 10      {printf(""lucky"");}
 11      else(k%2!=1)
 12      printf(""unlucky"");
 13     
 14     return 0;
 15 }",Bound,Lost,1
prog24159,"  1 #include <stdio.h>
  2 int main(){
  3     int k,n=0,i,a[n],temp;
  4     scanf(""%d\n %d\n"",&k,&n);
  5     for(i=0;i<n;i++)
  6     {
  7         scanf(""%d"",&a[i]);
  8             
  9     }
 10         temp=0;
 11     for(i=0,j==0;i<n;i++,j++)
 12     {
 13         if(a[i]+a[j]==k)
 14             temp=1;
 15             break;
 16     }
 17     if(temp==1)
 18         printf(""lucky"");
 19         else if(temp==0)
 20         printf(""unlucky"");
 21     
 22     return 0;
 23 }",ID,NoDef,0
prog51892,"  1 #include <stdio.h>
  2 int main(){
  3      int k,n,num[1000],i,sum;
  4      scanf(""%d\n"",&k);
  5      scanf(""%d\n"",&n);
  6      for(i=0;i<n;i++)
  7      {
  8          scanf(""%d"",&num[i]);
  9      }
 10      for(i=0;i<n;i++)
 11      {
 12          for(j=i+1;j<n;j++)
 13          {
 14              sum=num[i]+num[j];
 15              if(sum==k)
 16              {
 17                  break;
 18              }
 19          }
 20      }
 21      if(sum==k)
 22      {
 23          printf(""lucky"");
 24      }
 25      else
 26      {
 27          printf(""unlucky"");
 28      }
 29      
 30     return 0;
 31 }",ID,NoDef,0
prog08995,"  1 #include <stdio.h>
  2 int main()
  3 {int s[500];
  4 int i,j,k,n;
  5 scanf(""%d"",&k);
  6 for (i=0;i<=499;i++)
  7 {    
  8     scanf(""%d"",&n)
  9     scanf(""%d"",&s[i]);
 10     for(j=1;j<=499;j++)
 11     {
 12         scanf(""%d"",&s[i]);
 13     }
 14 }
 15 if((i+j)==k)
 16 printf(""lucky"");
 17 else  printf(""unlucky"");
 18 
 19     // Insert your code here
 20     return 0;
 21 }",Bound,Lost,1
prog40538,"  1 #include <stdio.h>
  2 int main(){
  3     int c=0,i,n,k,list[1000],b[500];/*declaring 2 arrays list and b       ,list stores the entered entries and b has non-zero values for the     entered entries*/
  4     scanf(""%d"",&k);
  5     scanf(""%d"",&n);
  6     for(i=0;i<n;i++)
  7     scanf(""%d"",&list[i]);
  8     for(i=0;i<500;i++)
  9     b[i]=0;/*intializing value 0 to all the elements of b*/
 10     for(i=0;i<n;i++)
 11     b[list[i]]++;/*incrementing b for the entered enteries in list*/ 
 12     for(i=0;i<n;i++)
 13     {   
 14         if((k-i)<500 && (k-i)>0)
 15         {
 16            if(b[list[i]]!=0 && b[list[k-i]]!=0)
 17            c++;/*if we found even 1 i such that we have k-i also as              one of the enteries then we luck and so increase the                  counter for c*/   
 18     }
 19     if(c==0)
 20     printf(""unlucky"");
 21     else
 22     printf(""lucky"");
 23 return 0;
 24 }",Bound,NotMatch,3
prog01168,"  1 #include <stdio.h>
  2 int main(){
  3     int i,j,k,n,b;
  4     int a[1000];
  5     scanf(""%d"",&k);
  6     scanf(""%d"",&n);
  7     for(i=0;i<n;i++)
  8     {
  9         scanf(""%d"",&b);
 10         a[i]=b;
 11     }
 12     for(i=0;i<n;i++)
 13     {
 14         for(j=0;j<n;j++)
 15         {
 16             if((a[i])+(a[j])==k)
 17             {
 18                 printf(""lucky"");
 19                 count=count+1;
 20             }
 21             if(i==n-1&&j==n-1)
 22             {
 23                 printf(""unlucky"");
 24             }
 25             if(count!=0)
 26             break;
 27         }
 28     }
 29     return 0;
 30 }",ID,NoDef,0
prog06427,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m;
  6     int c;
  7     int greatest=0;
  8     int sum[n];
  9     scanf(""%d %d"",&n,&m);
 10     for(int i=0;i<n;i++)
 11     {
 12         for(int j=0;j<m;j++)
 13         {
 14             scanf(""%d"",&c);
 15             sum[i]=sum[i]+c;
 16         }
 17     }
 18     for(int l=0;l<n;l++)
 19     {
 20         if(sum[l]>greatest)
 21         greatest=sum[l];
 22     }
 23     printf(""%d"",&greateset);
 24     return 0;
 25 }",ID,NoDef,0
prog02356,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,i,j,s=0,t;
  6     scanf(""%d%d"",&n,&m);
  7     int arr[n][m],sum[n];
  8     for(i=0;i<=n-1;i++)
  9     {
 10         for(j=0;j<=m-1;j++)
 11         scanf(""%d"",arr[i,j]);
 12         
 13     }
 14     for(i=0;i<=n-1;i++)
 15     {
 16         for(j=0;j<=m-1;j++)
 17         s=s+arr[i,j];
 18         sum[i]=s;
 19     }
 20     for(i=0;i<=n-1;i++)
 21     {
 22         if(sum[i]>sum[i+1])
 23         {
 24             sum[i]=t;
 25             sum[i]=sum[i+1];
 26             sum[i+1]=t
 27             
 28             
 29         }
 30         
 31     }
 32     printf(""%d"",sum[n]);
 33     
 34     return 0;
 35 }",Bound,Lost,1
prog21767,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,a[20][20],sum[i],max;
  6     scanf(""%d%d"",&n,&m);
  7     for(int i=1;i<=n;i++)
  8     {   
  9         sum[i]=0;
 10         for(int j=1;j<=m;j++)
 11         {  scanf(""%d"",&a[i][j]);
 12            sum[i]=sum[i]+a[i][j];
 13         }
 14            
 15     }
 16     for(int i=2;i<=n;i++)
 17     {max=sum[1];
 18      if(sum[i]>max)
 19      max=sum[i];
 20     }
 21     for(int i=1;i<=n;i++)
 22     printf(""%d"",max);
 23     
 24     return 0;
 25 }",ID,NoDef,0
prog17093,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int m,n,i,j,a[j],s=0;
  6     scanf(""%d%d"",&n,&m);
  7     for(i=1;i<=n;i++)
  8     {
  9         for(j=1;j<=m;j++)
 10         { scanf(""%d"",a[j])
 11                     s=s+a[j];
 12         }printf(""%d\n"",s);
 13             
 14 
 15     }
 16         
 17         
 18     
 19     return 0;
 20 }",Bound,Lost,1
prog34720,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int m,n,i,j,s,max=0;
  6     scanf(""%d%d"",&n,&m);
  7     int c[m];
  8     for(i=0;i<n;i++)
  9     {
 10         s=0;
 11         for(j=0;j<m;j++)
 12         {   scanf(""%d"",&c[j])
 13             s=s+c[j];
 14         }
 15         if(max<s)
 16         max=s;
 17     }
 18     printf(""%d"",max);
 19     
 20     //Fill this area with your code.
 21     
 22     return 0;
 23 }",Bound,Lost,1
prog39637,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,sum,b,c;
  6     int i=1;
  7     int j=1;
  8     scanf(""%d%d"",&n,&m);
  9     int array[n][m];
 10     for(j=1;j<=m;j++){
 11         scanf(""%d"",&array[i][j]);
 12         while(j==m){
 13             i++;
 14             scanf(""\n"");
 15             if(i>n){
 16                 break;
 17             }
 18             else{
 19                 j=1;
 20             }
 21         }
 22     }
 23     sum=0;
 24     b=1;
 25     c=1;
 26     while(b<=n){
 27         sum=sum+array[b][c];
 28         c++;
 29         while(c==m){
 30             c=1;
 31             b++;
 32         }
 33         printf(""%d"",sum)
 34     }
 35     
 36 
 37     
 38     return 0;
 39 }",Bound,Lost,1
prog40216,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,a,i,count=0,cmax=0;
  6     scanf(""%d%d"",&n,&m);
  7     for(i=1;i<=n;i++)
  8     {
  9         for(j=1;j<=m;j++)
 10         {
 11             scanf(""%d"",&a);
 12             count=count+a;
 13         }
 14         if(cmax<count)
 15         {
 16             cmax=count;
 17         }
 18         
 19     }
 20     printf(""%d"",&cmax);
 21     return 0;
 22 }",ID,NoDef,0
prog24867,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,i,j,h;
  6     j=1;
  7     scanf(""%d %d"",&n,&m);
  8     int t[n];
  9     t[n]={0};
 10     for(i=0;i<=n-1;i++)
 11         while(j<=m)
 12         scanf(""%d"",&h);
 13         t[i]+=h;
 14         
 15     return 0;
 16 }",Bound,Redundant,6
prog04726,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5 int n,m;
  6 int a;
  7 int sum[10];
  8 int s=0;
  9 scanf(""%d %d"",&n,&m);
 10 int i,j;
 11 for(i=1;i<=n;i++){
 12     for(j=1;j<=m;j++){
 13         scanf(""%d"",&a);
 14         s=s+a;
 15     }
 16     sum[i-1]=s;
 17     
 18 }
 19 int max=0;
 20     for(i=0;i<n;i++){
 21         if(sum[i]>max){
 22         max=sum[i];}
 23         
 24     
 25     printf(""%d"",max);
 26     
 27     return 0;
 28 }",Bound,NotMatch,3
prog46852,"  1 #include <stdio.h>
  2 
  3 int main()
  4 {
  5     int n,m,max,j,i,k=2;
  6     scanf(""%d%d"",&n,&m);
  7     int a[n],b[m],sum[n];
  8     for(j=1;j<=n;j++)
  9     {
 10         sum[j]=0
 11     for(i=1;i<=m;i++)
 12      scanf(""%d"",&a[i]);
 13      sum[j]=sum[j]+a[i];
 14     }
 15     max=sum[1];
 16     while(k<=n)
 17     {
 18         if(max<=sum[k])
 19          max=sum[k];
 20         else
 21          max=max;
 22     }
 23     printf(""%d"",max);
 24     return 0;
 25 }",Bound,Lost,1
